,description,naf5,naf4,naf3,naf2
160,industrie manufacturière industrie pharmaceutique fabrication de produits pharmaceutiques de base fabrication de produits pharmaceutiques de base fabrication de produits pharmaceutiques de base,21.10Z,21.1,21.1,21.0
161,industrie manufacturière industrie pharmaceutique fabrication de préparations pharmaceutiques fabrication de préparations pharmaceutiques fabrication de préparations pharmaceutiques,21.20Z,21.2,21.2,21.0
162,industrie manufacturière fabrication de produits en caoutchouc et en plastique fabrication de produits en caoutchouc fabrication et rechapage de pneumatiques fabrication et rechapage de pneumatiques,22.11Z,22.11,22.1,22.0
163,industrie manufacturière fabrication de produits en caoutchouc et en plastique fabrication de produits en caoutchouc fabrication d'autres articles en caoutchouc fabrication d'autres articles en caoutchouc,22.19Z,22.19,22.1,22.0
164,"industrie manufacturière fabrication de produits en caoutchouc et en plastique fabrication de produits en plastique fabrication de plaques, feuilles, tubes et profilés en matières plastiques fabrication de plaques, feuilles, tubes et profilés en matières plastiques",22.21Z,22.21,22.2,22.0
165,industrie manufacturière fabrication de produits en caoutchouc et en plastique fabrication de produits en plastique fabrication d'emballages en matières plastiques fabrication d'emballages en matières plastiques,22.22Z,22.22,22.2,22.0
166,industrie manufacturière fabrication de produits en caoutchouc et en plastique fabrication de produits en plastique fabrication d'éléments en matières plastiques pour la construction fabrication d'éléments en matières plastiques pour la construction,22.23Z,22.23,22.2,22.0
167,industrie manufacturière fabrication de produits en caoutchouc et en plastique fabrication de produits en plastique fabrication d'autres articles en matières plastiques fabrication de pièces techniques à base de matières plastiques,22.29A,22.29,22.2,22.0
168,industrie manufacturière fabrication de produits en caoutchouc et en plastique fabrication de produits en plastique fabrication d'autres articles en matières plastiques fabrication de produits de consommation courante en matières plastiques,22.29B,22.29,22.2,22.0
169,industrie manufacturière fabrication d'autres produits minéraux non métalliques fabrication de verre et d'articles en verre fabrication de verre plat fabrication de verre plat,23.11Z,23.11,23.1,23.0
170,industrie manufacturière fabrication d'autres produits minéraux non métalliques fabrication de verre et d'articles en verre façonnage et transformation du verre plat façonnage et transformation du verre plat,23.12Z,23.12,23.1,23.0
171,industrie manufacturière fabrication d'autres produits minéraux non métalliques fabrication de verre et d'articles en verre fabrication de verre creux fabrication de verre creux,23.13Z,23.13,23.1,23.0
172,industrie manufacturière fabrication d'autres produits minéraux non métalliques fabrication de verre et d'articles en verre fabrication de fibres de verre fabrication de fibres de verre,23.14Z,23.14,23.1,23.0
173,"industrie manufacturière fabrication d'autres produits minéraux non métalliques fabrication de verre et d'articles en verre fabrication et façonnage d'autres articles en verre, y compris verre technique fabrication et façonnage d'autres articles en verre, y compris verre technique",23.19Z,23.19,23.1,23.0
174,industrie manufacturière fabrication d'autres produits minéraux non métalliques fabrication de produits réfractaires fabrication de produits réfractaires fabrication de produits réfractaires,23.20Z,23.2,23.2,23.0
175,industrie manufacturière fabrication d'autres produits minéraux non métalliques fabrication de matériaux de construction en terre cuite fabrication de carreaux en céramique fabrication de carreaux en céramique,23.31Z,23.31,23.3,23.0
176,"industrie manufacturière fabrication d'autres produits minéraux non métalliques fabrication de matériaux de construction en terre cuite fabrication de briques, tuiles et produits de construction, en terre cuite fabrication de briques, tuiles et produits de construction, en terre cuite",23.32Z,23.32,23.3,23.0
177,industrie manufacturière fabrication d'autres produits minéraux non métalliques fabrication d'autres produits en céramique et en porcelaine fabrication d'articles céramiques à usage domestique ou ornemental fabrication d'articles céramiques à usage domestique ou ornemental,23.41Z,23.41,23.4,23.0
178,industrie manufacturière fabrication d'autres produits minéraux non métalliques fabrication d'autres produits en céramique et en porcelaine fabrication d'appareils sanitaires en céramique fabrication d'appareils sanitaires en céramique,23.42Z,23.42,23.4,23.0
179,industrie manufacturière fabrication d'autres produits minéraux non métalliques fabrication d'autres produits en céramique et en porcelaine fabrication d'isolateurs et pièces isolantes en céramique fabrication d'isolateurs et pièces isolantes en céramique,23.43Z,23.43,23.4,23.0
180,industrie manufacturière fabrication d'autres produits minéraux non métalliques fabrication d'autres produits en céramique et en porcelaine fabrication d'autres produits céramiques à usage technique fabrication d'autres produits céramiques à usage technique,23.44Z,23.44,23.4,23.0
181,industrie manufacturière fabrication d'autres produits minéraux non métalliques fabrication d'autres produits en céramique et en porcelaine fabrication d'autres produits céramiques fabrication d'autres produits céramiques,23.49Z,23.49,23.4,23.0
182,"industrie manufacturière fabrication d'autres produits minéraux non métalliques fabrication de ciment, chaux et plâtre fabrication de ciment fabrication de ciment",23.51Z,23.51,23.5,23.0
183,"industrie manufacturière fabrication d'autres produits minéraux non métalliques fabrication de ciment, chaux et plâtre fabrication de chaux et plâtre fabrication de chaux et plâtre",23.52Z,23.52,23.5,23.0
184,"industrie manufacturière fabrication d'autres produits minéraux non métalliques fabrication d'ouvrages en béton, en ciment ou en plâtre fabrication d'éléments en béton pour la construction fabrication d'éléments en béton pour la construction",23.61Z,23.61,23.6,23.0
185,"industrie manufacturière fabrication d'autres produits minéraux non métalliques fabrication d'ouvrages en béton, en ciment ou en plâtre fabrication d'éléments en plâtre pour la construction fabrication d'éléments en plâtre pour la construction",23.62Z,23.62,23.6,23.0
186,"industrie manufacturière fabrication d'autres produits minéraux non métalliques fabrication d'ouvrages en béton, en ciment ou en plâtre fabrication de béton prêt à l'emploi fabrication de béton prêt à l'emploi",23.63Z,23.63,23.6,23.0
187,"industrie manufacturière fabrication d'autres produits minéraux non métalliques fabrication d'ouvrages en béton, en ciment ou en plâtre fabrication de mortiers et bétons secs fabrication de mortiers et bétons secs",23.64Z,23.64,23.6,23.0
188,"industrie manufacturière fabrication d'autres produits minéraux non métalliques fabrication d'ouvrages en béton, en ciment ou en plâtre fabrication d'ouvrages en fibre-ciment fabrication d'ouvrages en fibre-ciment",23.65Z,23.65,23.6,23.0
189,"industrie manufacturière fabrication d'autres produits minéraux non métalliques fabrication d'ouvrages en béton, en ciment ou en plâtre fabrication d'autres ouvrages en béton, en ciment ou en plâtre fabrication d'autres ouvrages en béton, en ciment ou en plâtre",23.69Z,23.69,23.6,23.0
190,"industrie manufacturière fabrication d'autres produits minéraux non métalliques taille, façonnage et finissage de pierres taille, façonnage et finissage de pierres taille, façonnage et finissage de pierres",23.70Z,23.7,23.7,23.0
191,industrie manufacturière fabrication d'autres produits minéraux non métalliques fabrication de produits abrasifs et de produits minéraux non métalliques n.c.a. fabrication de produits abrasifs fabrication de produits abrasifs,23.91Z,23.91,23.9,23.0
192,industrie manufacturière fabrication d'autres produits minéraux non métalliques fabrication de produits abrasifs et de produits minéraux non métalliques n.c.a. fabrication d'autres produits minéraux non métalliques n.c.a. fabrication d'autres produits minéraux non métalliques n.c.a.,23.99Z,23.99,23.9,23.0
193,industrie manufacturière métallurgie sidérurgie sidérurgie sidérurgie,24.10Z,24.1,24.1,24.0
194,"industrie manufacturière métallurgie fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier",24.20Z,24.2,24.2,24.0
195,industrie manufacturière métallurgie fabrication d'autres produits de première transformation de l'acier étirage à froid de barres étirage à froid de barres,24.31Z,24.31,24.3,24.0
196,industrie manufacturière métallurgie fabrication d'autres produits de première transformation de l'acier laminage à froid de feuillards laminage à froid de feuillards,24.32Z,24.32,24.3,24.0
197,industrie manufacturière métallurgie fabrication d'autres produits de première transformation de l'acier profilage à froid par formage ou pliage profilage à froid par formage ou pliage,24.33Z,24.33,24.3,24.0
198,industrie manufacturière métallurgie fabrication d'autres produits de première transformation de l'acier tréfilage à froid tréfilage à froid,24.34Z,24.34,24.3,24.0
